precio,moneda,direccion,barrio,tipo,metros_totales,area_privada,dormitorios,baños,garage,gastos_comunes,admite_mascotas,disposicion,balcon,terraza,ascensor,amueblado,aire_acondicionado,calefaccion,numero_piso,latitud_Y,longitud_X,url
$ 23.500,Pesos Uruguayos (UYU),"Parque Rodo, Parque Rodó, Montevideo",Parque Rodó,Apartamento,29 m²,29 m²,0,1,0,3.700 UYU,No,Contrafrente,Sí,Sí,No especificado,No,No,Sí,No especificado,-34.9076217,-56.1639716,https://apartamento.mercadolibre.com.uy/MLU-696608643-apartamento-en-alquiler-monoambiente-1-bano-balcon-parque-rodo-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=1&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search
$ 35.000,Pesos Uruguayos (UYU),"Luis Lamas 1424, 11300 Montevideo, Departamento De Montevideo, Uruguay, Pocitos, Montevideo",11300 Montevideo,Apartamento,55 m²,50 m²,2,1,1,5.500 UYU,No,Frente,Sí,Sí,Sí,No,No,Sí,10,-34.9069017,-56.1466242,https://apartamento.mercadolibre.com.uy/MLU-696785347-alquiler-apartamento-penthouse-de-2-dormitorios-en-pocitos-garaje-calefaccion-piso-10-inmejorable-vista-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=2&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search
$ 25.000,Pesos Uruguayos (UYU),"Agrim. Germán Barbato 1485, Centro, Montevideo",Centro,Apartamento,49 m²,47 m²,1,1,0,5.800 UYU,Sí,Frente,2 m²,Sí,Sí,No,No especificado,No,9,-34.903028,-56.1864927,https://apartamento.mercadolibre.com.uy/MLU-696595095-alquiler-apartamento-centro-1-dormitorio-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=3&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search
$ 46.000,Pesos Uruguayos (UYU),"La Paz 1000, Montevideo, Montevideo",Montevideo,Apartamento,71 m²,65 m²,2,1,0,7.500 UYU,Sí,No especificado,No especificado,Sí,No especificado,No especificado,Sí,No especificado,No especificado,-34.8980198,-56.1954449,https://apartamento.mercadolibre.com.uy/MLU-1454651494-alquilo-2-dormitorios-divina-vista-nostrum-bay-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=4&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search
$ 22.800,Pesos Uruguayos (UYU),"Avenida Colombes 1700, Malvin, Montevideo",Malvin,Apartamento,39 m²,36 m²,1,1,0,4.772 UYU,No especificado,No especificado,Sí,Sí,No especificado,No especificado,Sí,No especificado,No especificado,-34.8891545,-56.118417,https://apartamento.mercadolibre.com.uy/MLU-1454652752-alquiler-apartamento-un-dormitorio-y-balcon-malvin-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=5&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search
$ 53.000,Pesos Uruguayos (UYU),"26 De Marzo Esq. Cavia, Pocitos, Montevideo",Pocitos,Apartamento,86 m²,85 m²,3,2,1,20.000 UYU,No,Lateral,No,No,Sí,No,No,No,1,-34.9121326,-56.1523875,https://apartamento.mercadolibre.com.uy/MLU-696620261-tobago-501-alquiler-apartamento-3-dormitorios-y-garaje-en-pocitos-3-banos-amoblado-equipado-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=6&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search
$ 31.000,Pesos Uruguayos (UYU),"Av Italia Y Valencia, Malvin, Montevideo",Malvin,Apartamento,69 m²,47 m²,1,1,1,5.500 UYU,Sí,Contrafrente,No,No,Sí,No,No,No,8,-34.886039,-56.1040601,https://apartamento.mercadolibre.com.uy/MLU-696620267-estrellas-de-malvin-2003-alquiler-apartamento-1-dormitorio-con-garaje-en-malvin-piso-alto-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=7&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search
$ 30.000,Pesos Uruguayos (UYU),"Cordón, Cordón, Montevideo",Cordón,Apartamento,55 m²,55 m²,2,1,0,7.500 UYU,Sí,Contrafrente,Sí,Sí,No especificado,No,No,Sí,No especificado,-34.9072525,-56.1775496,https://apartamento.mercadolibre.com.uy/MLU-696760385-apartamento-en-alquiler-2-dormitorios-1-bano-cordon-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=8&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search
$ 34.000,Pesos Uruguayos (UYU),"Santiago De Chile Entre Canelones Y Soriano, Centro, Montevideo",Centro,Apartamento,63 m²,52 m²,2,1,0,5.000 UYU,Sí,Frente,No,No,Sí,No,No,No,1,-34.907977,-56.1851494,https://apartamento.mercadolibre.com.uy/MLU-696620259-torres-del-plata-501-alquiler-apartamento-2-dormitorios-con-garaje-en-el-centro-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=9&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search
$ 25.700,Pesos Uruguayos (UYU),"Constituyente Y Tacuarembo, Cordón, Montevideo",Cordón,Apartamento,50 m²,41 m²,1,1,0,4.800 UYU,No,Frente,No,Sí,Sí,No,No,No,1,-34.9059067,-56.1820419,https://apartamento.mercadolibre.com.uy/MLU-696633203-lift-gaucho-701-alquiler-apartamento-1-dormitorio-en-cordon-piso-alto-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=10&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search
