"precio";"moneda";"direccion";"barrio";"metros_totales";"area_privada";"dormitorios";"baños";"garage";"gastos_comunes";"admite_mascotas";"disposicion";"balcon";"terraza";"ascensor";"amueblado";"aire_acondicionado";"calefaccion";"numero_piso";"latitud_Y";"longitud_X";"url";"dist_av_18_de_julio";"dist_av_8_de_octubre";"dist_av_agraciada";"dist_av_bolivia";"dist_av_gral_eugenio_garzon";"dist_av_italia";"dist_bv_gral_artigas";"dist_bv_jose_batlle_y_ordoñez"
23500;"UYU($)";"Parque Rodo, Parque Rodó, Montevideo";"Cordón";29;29;0;1;"No";3700;"No";"No";"Si";"Sí";"Si";"No";"No";"Sí";NA;-34.9076217;-56.1639716;"https://apartamento.mercadolibre.com.uy/MLU-696608643-apartamento-en-alquiler-monoambiente-1-bano-balcon-parque-rodo-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=1&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search";1041.00622824606;1076.57408283934;2865.22960832192;7249.57168505887;8225.02779347896;1389.40899434151;27.4807104405422;3284.04354497788
35000;"UYU($)";"Luis Lamas 1424, 11300 Montevideo, Departamento De Montevideo, Uruguay, Pocitos, Montevideo";"Pocitos";55;50;2;1;"Si";5500;"No";"Si";"Si";"Sí";"Sí";"No";"No";"Sí";10;-34.9069017;-56.1466242;"https://apartamento.mercadolibre.com.uy/MLU-696785347-alquiler-apartamento-penthouse-de-2-dormitorios-en-pocitos-garaje-calefaccion-piso-10-inmejorable-vista-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=2&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search";1939.13422170496;2029.53888823797;4139.94055291815;5923.27952199967;9323.17582667986;1874.87439309006;1539.07362816073;2164.97618414681
25000;"UYU($)";"Agrim. Germán Barbato 1485, Centro, Montevideo";"Centro";49;47;1;1;"No";5800;"Sí";"Si";"Si";"Sí";"Sí";"No";"No";"No";9;-34.903028;-56.1864927;"https://apartamento.mercadolibre.com.uy/MLU-696595095-alquiler-apartamento-centro-1-dormitorio-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=3&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search";279.782264588263;1922.02888272144;1420.02440148972;8844.21386514613;6556.72558087863;2147.34800984962;2031.09271041755;4322.35794510151
46000;"UYU($)";"La Paz 1000, Montevideo, Montevideo";"Ciudad Vieja";71;65;2;1;"No";7500;"Sí";"No";"No";"Sí";"Si";"No";"Sí";"No";NA;-34.8980198;-56.1954449;"https://apartamento.mercadolibre.com.uy/MLU-1454651494-alquilo-2-dormitorios-divina-vista-nostrum-bay-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=4&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search";903.449175285502;2661.04016854703;1147.74787570275;9423.07111337601;5661.59219838681;2796.84351197186;2795.37865340248;4472.63681321783
22800;"UYU($)";"Avenida Colombes 1700, Malvin, Montevideo";"Buceo";39;36;1;1;"No";4772;"No especificado";"No";"Si";"Sí";"Si";"No";"Sí";"No";NA;-34.8891545;-56.118417;"https://apartamento.mercadolibre.com.uy/MLU-1454652752-alquiler-apartamento-un-dormitorio-y-balcon-malvin-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=5&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search";4321.15938041486;2462.64818770202;6283.59116839386;2689.12091267168;10520.8180572614;183.989298837728;4268.87760742019;1032.07395453925
53000;"UYU($)";"26 De Marzo Esq. Cavia, Pocitos, Montevideo";"Pocitos";86;85;3;2;"Si";20000;"No";"No";"No";"No";"Sí";"No";"No";"No";1;-34.9121326;-56.1523875;"https://apartamento.mercadolibre.com.uy/MLU-696620261-tobago-501-alquiler-apartamento-3-dormitorios-y-garaje-en-pocitos-3-banos-amoblado-equipado-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=6&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search";1959.43109378565;2002.69506204865;3999.4075969217;6700.67046652448;9321.587886943;2211.56146318969;961.860527322514;2948.29360226341
31000;"UYU($)";"Av Italia Y Valencia, Malvin, Montevideo";"Malvín";69;47;1;1;"Si";5500;"Sí";"No";"No";"No";"Sí";"No";"No";"No";8;-34.886039;-56.1040601;"https://apartamento.mercadolibre.com.uy/MLU-696620267-estrellas-de-malvin-2003-alquiler-apartamento-1-dormitorio-con-garaje-en-malvin-piso-alto-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=7&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search";5676.84434290338;3278.1682610567;7608.7917922531;1627.58755645701;11619.7430790836;0.213544330659344;5619.71242001045;2248.52021304804
30000;"UYU($)";"Cordón, Cordón, Montevideo";"Cordón";55;55;2;1;"No";7500;"Sí";"No";"Si";"Sí";"Si";"No";"No";"Sí";NA;-34.9072525;-56.1775496;"https://apartamento.mercadolibre.com.uy/MLU-696760385-apartamento-en-alquiler-2-dormitorios-1-bano-cordon-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=8&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search";476.630417912165;1442.41883646799;2081.76146668676;8302.81593313014;7404.48680774127;1765.19578430806;1259.67329041763;4110.10333379164
34000;"UYU($)";"Santiago De Chile Entre Canelones Y Soriano, Centro, Montevideo";"Centro";63;52;2;1;"No";5000;"Sí";"Si";"No";"No";"Sí";"No";"No";"No";1;-34.907977;-56.1851494;"https://apartamento.mercadolibre.com.uy/MLU-696620259-torres-del-plata-501-alquiler-apartamento-2-dormitorios-con-garaje-en-el-centro-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=9&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search";266.035981289978;2038.80261363269;1976.1599451118;8958.43923185259;7087.84235139123;2325.55016164924;1958.24097156495;4639.42514260669
25700;"UYU($)";"Constituyente Y Tacuarembo, Cordón, Montevideo";"Cordón";50;41;1;1;"No";4800;"No";"Si";"No";"Sí";"Sí";"No";"No";"No";1;-34.9059067;-56.1820419;"https://apartamento.mercadolibre.com.uy/MLU-696633203-lift-gaucho-701-alquiler-apartamento-1-dormitorio-en-cordon-piso-alto-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=10&type=item&tracking_id=586c9f78-74d7-464f-b680-0938a44068ae&sid=search";167.180478745585;1676.53542399638;1799.93058767046;8602.87214693108;7046.83411070074;1960.51219122071;1654.57713420979;4277.95364140831
