"BARRIO";"dist_av_18_de_julio";"dist_av_8_de_octubre";"dist_av_agraciada";"dist_av_bolivia";"dist_av_gral_eugenio_garzon";"dist_av_italia";"dist_bv_gral_artigas";"dist_bv_jose_batlle_y_ordoñez"
"Manga Toledo Chico";14370.9865342761;9774.26438945843;11807.9252750717;12352.8963364764;7844.98280715329;13083.4981693202;11388.7590006349;9229.38061153811
"Colón";14882.4731317144;11697.7205145468;10051.0345078701;15033.9828765231;4166.85023596618;14334.225482557;11683.1927894758;6633.80607832512
"Villa Garcia Manga Rural";13972.8072717958;8515.19093294628;14258.1788728805;8960.29899171359;13088.447136352;9512.23957454481;11736.7833580817;11208.7781054096
"Bañados De Carrasco";10331.0275468958;5339.47739388181;11547.0743354467;4232.68606157908;12959.2080890301;4635.60906270735;8901.14058260362;7693.30789873278
"Manga";9670.33567096347;5173.76755237265;8129.51654424809;8227.42683851865;6631.82752648286;8378.18345193198;6738.20672533763;5419.5255282238
"Peñarol";8653.07045243416;6939.7307289708;4053.60771483028;10643.6035314429;1998.98161497554;8308.25194341334;5258.11423816669;1466.27559671375
"Punta Rieles Bella Italia";9940.47776908177;4489.12930248732;10490.7024918247;5406.63221610675;10724.8244577931;6684.72938919853;7831.17612641157;7327.13915722996
"Casavalle";7402.96817049257;4406.30657160411;5218.20339522387;8071.66935701577;4615.38608400526;6687.97598428053;4337.13153759402;2519.40704268637
"Piedras Blancas";8419.56109072661;3646.27941521674;7708.66645924857;6707.52043232199;7191.37578862476;6934.39577920829;5630.66515482311;4910.41983506148
"Sayago";8075.71179865752;7579.63570275706;2410.43480417698;11391.6874095703;777.049926566641;7972.89506735003;4290.53510091674;253.588925320757
"Jardines Del Hipodromo";7235.79638273791;2076.34333155024;7299.1726751769;5122.59397531261;7965.77162447745;5456.21311944202;4749.26698338347;4218.92877858614
"Casabo Pajas Blancas";11086.9032441357;13664.3905646167;8412.16048557083;19660.6158462871;8199.29158326873;13696.8437577802;9226.6666923581;8917.778306248
"Las Acacias";6193.19522602274;3042.90847401725;5075.85831865916;6743.51234738997;5573.11285995732;5279.2327350173;3192.86868881923;2253.92200154746
"La Paloma Tomkinson";8346.71572351276;10299.8122033488;4308.40988644379;15807.4282722727;4070.10618858748;10324.3646261462;5572.73365394208;5388.17003110007
"Belvedere";6772.78303016543;7346.37686144805;666.259119967347;11887.7387669218;47.9268998035725;7391.14172219975;3039.06212214235;2147.8214146545
"Paso De Las Duranas";6524.16941484152;5964.07411771299;1720.73483909882;10128.6100603735;1710.91128327007;6298.63095683092;2704.67314796632;942.66325505393
"Ituzaingó";5788.03860717412;1434.07042198083;5809.51006124552;5116.08088481634;7077.35349833545;4303.04505405723;3212.44406342788;2707.54717260002
"Flor de Maroñas";6300.18616102997;877.900217653162;7164.02643297048;3465.80615542323;8906.8179230201;3964.18836482165;4421.0777970267;3728.81786862361
"Aires Puros";5487.0017547056;4628.89650190631;2453.49897177254;8609.65261701285;3223.45328872555;5186.27962491813;2146.85582567201;275.479465296131
